x,y,CIdn,CIup,alpha
3.411759468,1.318211661,1.132038658,1.504384664,0.05
3.433137054,1.333896528,1.151446475,1.51634658,0.05
3.454514639,1.349581394,1.170796137,1.528366652,0.05
3.475892225,1.365266261,1.190083995,1.540448528,0.05
3.49726981,1.380951128,1.209306156,1.5525961,0.05
3.518647395,1.396635995,1.228458475,1.564813515,0.05
3.540024981,1.412320862,1.247536542,1.577105181,0.05
3.561402566,1.428005728,1.266535678,1.589475779,0.05
3.582780152,1.443690595,1.285450921,1.601930269,0.05
3.604157737,1.459375462,1.304277031,1.614473893,0.05
3.625535323,1.475060329,1.323008482,1.627112175,0.05
3.646912908,1.490745195,1.341639473,1.639850918,0.05
3.668290494,1.506430062,1.360163932,1.652696192,0.05
3.689668079,1.522114929,1.378575538,1.66565432,0.05
3.711045665,1.537799796,1.396867739,1.678731853,0.05
3.73242325,1.553484663,1.41503379,1.691935536,0.05
3.753800836,1.569169529,1.43306679,1.705272269,0.05
3.775178421,1.584854396,1.450959741,1.718749052,0.05
3.796556007,1.600539263,1.468705604,1.732372922,0.05
3.817933592,1.61622413,1.48629738,1.74615088,0.05
3.839311178,1.631908997,1.503728191,1.760089802,0.05
3.860688763,1.647593863,1.520991378,1.774196348,0.05
3.882066349,1.66327873,1.538080602,1.788476858,0.05
3.903443934,1.678963597,1.55498995,1.802937244,0.05
3.92482152,1.694648464,1.571714048,1.81758288,0.05
3.946199105,1.71033333,1.588248163,1.832418498,0.05
3.967576691,1.726018197,1.604588311,1.847448083,0.05
3.988954276,1.741703064,1.620731339,1.862674789,0.05
4.010331862,1.757387931,1.636675003,1.878100859,0.05
4.031709447,1.773072798,1.65241802,1.893727576,0.05
4.053087033,1.788757664,1.667960099,1.909555229,0.05
4.074464618,1.804442531,1.683301953,1.92558311,0.05
4.095842204,1.820127398,1.698445273,1.941809523,0.05
4.117219789,1.835812265,1.713392694,1.958231835,0.05
4.138597375,1.851497132,1.728147731,1.974846532,0.05
4.15997496,1.867181998,1.742714694,1.991649303,0.05
4.181352546,1.882866865,1.757098599,2.008635131,0.05
4.202730131,1.898551732,1.77130506,2.025798404,0.05
4.224107716,1.914236599,1.785340183,2.043133015,0.05
4.245485302,1.929921465,1.799210455,2.060632476,0.05
4.266862887,1.945606332,1.812922639,2.078290025,0.05
4.288240473,1.961291199,1.826483676,2.096098722,0.05
4.309618058,1.976976066,1.83990059,2.114051541,0.05
4.330995644,1.992660933,1.853180413,2.132141452,0.05
4.352373229,2.008345799,1.866330108,2.150361491,0.05
4.373750815,2.024030666,1.879356517,2.168704816,0.05
4.3951284,2.039715533,1.892266307,2.187164759,0.05
4.416505986,2.0554004,1.905065937,2.205734863,0.05
4.437883571,2.071085267,1.917761625,2.224408908,0.05
4.459261157,2.086770133,1.930359331,2.243180936,0.05
4.480638742,2.102455,1.94286474,2.26204526,0.05
4.502016328,2.118139867,1.955283259,2.280996475,0.05
4.523393913,2.133824734,1.96762001,2.300029457,0.05
4.544771499,2.1495096,1.979879835,2.319139366,0.05
4.566149084,2.165194467,1.992067299,2.338321635,0.05
4.58752667,2.180879334,2.004186699,2.357571969,0.05
4.608904255,2.196564201,2.016242073,2.376886328,0.05
4.630281841,2.212249068,2.028237209,2.396260926,0.05
4.651659426,2.227933934,2.040175659,2.41569221,0.05
4.673037012,2.243618801,2.052060747,2.435176855,0.05
4.694414597,2.259303668,2.063895588,2.454711748,0.05
4.715792183,2.274988535,2.075683093,2.474293976,0.05
4.737169768,2.290673402,2.087425985,2.493920818,0.05
4.758547354,2.306358268,2.09912681,2.513589727,0.05
4.779924939,2.322043135,2.110787948,2.533298322,0.05
4.801302525,2.337728002,2.122411624,2.55304438,0.05
4.82268011,2.353412869,2.133999918,2.572825819,0.05
4.844057696,2.369097735,2.145554775,2.592640696,0.05
